gid,lbl,val_200,d_name,cctv_mod,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사426437,477,477,개봉2동,4.577,0,5,1,1.041,9.969657,678
다사455437,8,8,구로2동,10,0,4.5,1,1.041,15.0945,108
다사426449,290,290,고척2동,2.697,0.15,3,1,1.041,6.086727,1000
다사450451,N/A,0,구로2동,0,0.135,2,1,1,2.135,1398
다사425450,169,169,고척2동,3.916,0.225,3,1,1.041,7.433781,877
다사397420,56,56,항동,10,0,1.5,1,1,11.5,491
다사455457,845,845,신도림동,9.226,0,5,1,1,14.226,192
다사458455,449,449,신도림동,10,0,5,1.095,1,16.425,14
다사417431,189,189,오류2동,10,0,5,1.095,1,16.425,14
다사406444,303,303,수궁동,4.987,0,2,1,1,6.987,915
다사423445,N/A,0,개봉1동,0,0,3,1,1,3,1290
다사455442,317,317,구로2동,0.039,0,2.5,1,1.041,2.643099,1332
다사460437,638,638,구로4동,3.018,0.21,4.5,1,1.041,8.044848,833
다사461447,780,780,구로5동,3.718,0,4.5,1.095,1,8.99871,749
다사403423,209,209,항동,10,0,1.5,1,1,11.5,491
다사453432,243,243,가리봉동,0.217,0,3,1,1.041,3.348897,1274
다사462455,N/A,0,구로5동,0,0,2.5,1,1,2.5,1344
다사401423,403,403,항동,10,0,1.5,1.095,1,12.5925,347
다사422428,276,276,오류2동,9.534,0,4.5,1.095,1,15.36723,90
다사430455,75,75,고척2동,5.697,0,1,1,1,6.697,939
다사447454,N/A,0,구로2동,0,0.525,1.5,1,1,2.025,1401
다사425454,154,154,고척2동,1.561,0,3,1,1.041,4.748001,1135
다사447432,121,121,구로1동,10,0,1,1,1,11,559
다사448432,604,604,구로1동,10,0,2.5,1,1,12.5,380
다사405447,130,130,수궁동,9.893,0,1,1,1,10.893,579
다사430454,151,151,고척2동,1.524,0,2.5,1,1.041,4.188984,1178
다사448453,100,100,구로2동,9.608,0,5,1,1,14.608,151
다사422447,118,118,개봉1동,5.613,0,4.5,1,1.041,10.527633,618
다사464423,417,417,가리봉동,9.43,0,4,1.095,1,14.70585,146
다사461454,N/A,0,구로5동,0,0.05,2.5,1,1,2.55,1342
다사426451,390,390,고척2동,0,0,3,1,1.041,3.123,1283
다사404422,532,532,항동,10,0,1.5,1.095,1,12.5925,347
다사411441,342,342,수궁동,5.111,0,3,1,1.041,8.443551,797
다사400439,169,169,수궁동,6.193,0,1.5,1.095,1.041,8.769212235,770
다사456431,191,191,구로2동,2.684,1.365,4,1,1.041,8.379009,800
다사397439,293,293,수궁동,6.307,0,3,1,1,9.307,724
다사433437,1235,1235,개봉2동,10,0,4.5,1,1,14.5,160
다사436451,429,429,고척1동,4.659,0.715,4.5,1,1,9.874,685
다사410446,7,7,수궁동,10,0,1.5,1,1.041,11.9715,445
다사400422,104,104,항동,10,0,1.5,1.095,1,12.5925,347
다사434437,877,877,개봉2동,5.38,0,4.5,1,1.041,10.28508,643
다사458438,405,405,구로2동,0.008,0,3.5,1,1.041,3.651828,1236
다사458445,397,397,구로5동,0.617,0,4,1.095,1.041,5.262895215,1077
다사416433,207,207,오류2동,9.553,0,5,1.095,1.041,16.58889194,10
다사438447,451,451,고척1동,10,0,5,1.095,1,16.425,14
다사409439,37,37,오류2동,10,0,4,1,1,14,210
다사417423,595,595,오류2동,10,0,4.5,1,1,14.5,160
다사413434,156,156,오류2동,5.278,0,5,1,1,10.278,644
다사469430,158,158,구로3동,3.502,0,4,1.095,1,8.21469,822
다사399447,N/A,0,수궁동,0,0,1,1,1,1,1564
다사461434,696,696,구로3동,9.628,0.515,5,1,1,15.143,106
다사428457,462,462,고척2동,4.205,0,4,1,1.041,8.541405,791
다사414442,408,408,오류1동,3.309,0,5,1.095,1,9.098355,737
다사416439,694,694,오류2동,8.013,0.455,5,1,1,13.468,265
다사433443,33,33,개봉1동,4.838,0.715,4.5,1,1,10.053,673
다사417441,380,380,오류1동,9.894,1.315,3.5,1.095,1,16.106355,51
다사423442,656,656,오류1동,9.218,0,1,1.095,1,11.18871,544
다사433433,101,101,개봉3동,4.077,0,2,1,1.041,6.326157,979
다사417430,219,219,오류2동,9.586,0,4,1.095,1,14.87667,128
다사418435,236,236,오류2동,7.964,0,4,1,1.041,12.454524,392
다사419436,572,572,오류2동,6.274,0,4,1.095,1,11.25003,537
다사466432,153,153,구로3동,4.287,0.37,3.5,1.095,1,8.931915,761
다사407438,67,67,오류2동,10,0,1.5,1,1,11.5,491
다사453436,144,144,구로2동,2.332,0.555,5,1,1.041,8.210367,823
다사425439,162,162,개봉2동,3.792,0,2,1,1,5.792,1027
다사457450,132,132,구로5동,3.972,0,4.5,1,1.041,8.819352,766
다사429445,122,122,개봉1동,2.465,0,3,1.095,1.041,6.229526175,989
다사417434,392,392,오류2동,9.823,0,2.5,1.095,1,13.493685,262
다사425436,38,38,개봉2동,6.539,0,2.5,1,1,9.039,743
다사406437,N/A,0,오류2동,0,0,2,1,1,2,1402
다사410435,210,210,오류2동,9.43,0,3,1,1.041,12.93963,329
다사426431,413,413,개봉3동,7.058,0.295,5,1,1.041,12.859473,333
다사436452,571,571,고척1동,9.537,0,5,1.095,1.041,16.57065362,11
다사457444,130,130,구로2동,9.381,0,2.5,1,1.041,12.368121,400
다사457439,79,79,구로2동,8.448,0,2,1,1.041,10.876368,584
다사427455,627,627,고척2동,3.518,0,4.5,1,1,8.018,838
다사413435,163,163,오류2동,6.514,0,2.5,1.095,1.041,10.27501353,645
다사401450,N/A,0,수궁동,0,0,1,1,1,1,1564
다사432438,942,942,개봉2동,9.008,0,5,1,1,14.008,208
다사397442,378,378,수궁동,2.764,0,2.5,1,1.041,5.479824,1053
다사432437,665,665,개봉2동,6.579,0,5,1,1.041,12.053739,425
다사412434,93,93,오류2동,8.597,0,4,1,1,12.597,346
다사460450,41,41,구로5동,6.004,0,4.5,1,1,10.504,620
다사422444,598,598,오류1동,8.933,1.875,5,1.095,1,17.30976,2
다사452457,129,129,신도림동,9.221,0,3.5,1,1.041,13.242561,284
다사412445,70,70,오류1동,5.707,0,1.5,1,1,7.207,900
다사431445,8,8,고척1동,4.897,1.155,4,1,1,10.052,674
다사463439,452,452,구로4동,0.342,0,4.5,1,1.041,5.040522,1104
다사429439,541,541,개봉2동,1.175,0,5,1,1.041,6.428175,971
다사439448,112,112,고척1동,2.942,0.835,2,1,1.041,6.013857,1009
다사468426,692,692,구로3동,3.903,0.755,5,1.095,1.041,11.00910591,557
다사402440,248,248,수궁동,4.473,0,1,1,1,5.473,1054
다사458458,678,678,신도림동,10,0,5,1,1,15,112
다사399427,217,217,항동,10,0,2,1.095,1,13.14,289
다사421445,262,262,오류1동,5.815,0,2.5,1,1.041,8.655915,786
다사429437,457,457,개봉2동,1.467,0,5,1,1.041,6.732147,935
다사413432,133,133,오류2동,9.48,0,4,1.095,1.041,15.3657846,91
다사429456,30,30,고척2동,8.453,0,2,1,1.041,10.881573,581
다사452454,1074,1074,신도림동,10,0,4.5,1.095,1,15.8775,58
다사452435,104,104,구로2동,0.169,0,2,1,1.041,2.257929,1392
다사463452,27,27,구로5동,8.218,0,2.5,1,1.041,11.157438,547
다사458446,115,115,구로5동,0.619,0.94,3.5,1,1.041,5.266419,1074
다사460434,595,595,구로4동,10,0.5,5,1.095,1,16.9725,6
다사435439,80,80,개봉2동,9.682,0,4,1,1,13.682,233
다사456446,172,172,구로5동,6.544,0,3.5,1,1.041,10.455804,623
다사432435,167,167,개봉3동,10,0,1.5,1,1,11.5,491
다사435448,591,591,고척1동,10,0,4,1.095,1,15.33,93
다사449438,733,733,구로1동,10,0,5,1.095,1,16.425,14
다사398439,116,116,수궁동,0.095,0,3,1,1.041,3.221895,1277
다사405446,542,542,수궁동,6.278,0,2.5,1.095,1,9.61191,703
다사428434,691,691,개봉3동,1.976,0,2.5,1,1.041,4.659516,1146
다사405435,119,119,오류2동,10,0,1,1,1,11,559
다사450434,36,36,구로1동,7.319,0,1,1,1,8.319,803
다사452431,42,42,가리봉동,3.566,0,1.5,1,1.041,5.273706,1072
다사429441,967,967,개봉2동,10,0,5,1.095,1,16.425,14
다사458436,195,195,구로2동,0.792,0.185,5,1,1.041,6.222057,990
다사408442,216,216,수궁동,6.029,0,3,1,1,9.029,745
다사438448,583,583,고척1동,10,0,5,1.095,1,16.425,14
다사422450,154,154,개봉1동,8.92,1.365,4,1,1.041,14.870685,129
다사444440,249,249,구로1동,10,0,5,1.095,1,16.425,14
다사413440,171,171,수궁동,9.995,0,3,1,1.041,13.527795,249
다사457440,254,254,구로2동,9.487,1.11,5,1.095,1,17.078715,4
다사448443,298,298,구로1동,10,0,5,1.095,1,16.425,14
다사433454,369,369,고척2동,9.996,0,5,1,1,14.996,126
다사437448,797,797,고척1동,10,0.715,5,1,1,15.715,77
다사456457,310,310,신도림동,3.491,0.135,5,1.095,1,9.44547,715
다사463453,10,10,구로5동,3.582,0,3,1,1,6.582,947
다사429442,996,996,개봉1동,10,0,4.5,1.095,1,15.8775,58
다사429443,N/A,0,개봉1동,0,0,1,1,1,1,1564
다사462449,843,843,구로5동,2.655,0.555,5,1.095,1,8.98995,752
다사420439,189,189,오류2동,0.076,0.25,4.5,1,1.041,5.023866,1106
다사464439,48,48,구로4동,2.771,0,5,1,1,7.771,860
다사429447,356,356,개봉1동,1.305,0,2.5,1,1.041,3.961005,1223
다사416445,155,155,오류1동,9.334,0,4,1,1.041,13.880694,223
다사416428,342,342,오류2동,8.066,0,4.5,1,1,12.566,373
다사403424,707,707,항동,10,0,1.5,1.095,1,12.5925,347
다사421443,557,557,오류1동,5.805,1.11,4,1.095,1,11.951925,451
다사423444,563,563,오류1동,7.391,0,3.5,1.095,1,11.925645,456
다사426445,106,106,개봉1동,7.1,0.835,2,1,1.041,10.342335,635
다사450455,67,67,신도림동,6.083,0,3,1,1.041,9.455403,713
다사398442,N/A,0,수궁동,0,0,1,1,1,1,1564
다사401438,103,103,수궁동,2.943,1,4,1,1,7.943,842
다사414426,44,44,오류2동,10,0,3.5,1.095,1,14.7825,133
다사432452,578,578,고척2동,8.877,0,2.5,1.095,1,12.457815,391
다사453437,206,206,구로2동,2.124,1,4.5,1,1.041,7.936584,843
다사417445,868,868,오류1동,10,0,4.5,1.095,1,15.8775,58
다사456433,288,288,구로4동,4.324,1.6,2.5,1,1.041,8.769384,769
다사425455,157,157,고척2동,1.714,0,2.5,1,1.041,4.386774,1167
다사417448,786,786,개봉1동,6.675,0,4.5,1,1,11.175,545
다사455447,1157,1157,구로5동,6.395,0,4,1.095,1,11.382525,521
다사404431,N/A,0,항동,0,0,1,1,1,1,1564
다사452439,297,297,구로2동,5.728,0,4,1,1.041,10.126848,665
다사425441,391,391,개봉2동,2.355,0,3.5,1,1.041,6.095055,999
다사418425,572,572,오류2동,10,0,4,1.095,1,15.33,93
다사448450,N/A,0,구로2동,0,0,1.5,1,1,1.5,1461
다사458426,120,120,가리봉동,5.806,0.455,3.5,1.095,1.041,11.1265151,549
다사461428,221,221,가리봉동,0.899,0,2.5,1,1.041,3.538359,1242
다사428452,242,242,고척2동,8.026,0,3.5,1,1.041,11.998566,442
다사438442,484,484,고척1동,7.189,0,4.5,1.095,1,12.799455,337
다사454430,81,81,가리봉동,7.932,0,1,1,1.041,9.298212,725
다사434452,281,281,고척2동,6.363,0,3,1.095,1,10.252485,651
다사460432,341,341,구로3동,1.609,0.63,3.5,1,1,5.739,1031
다사464438,564,564,구로4동,4.451,0,4,1,1,8.451,795
다사429446,331,331,개봉1동,3.607,0,3,1,1.041,6.877887,927
다사455446,13,13,구로5동,9.708,0.225,4,1,1,13.933,222
다사422438,101,101,오류2동,3.599,0,3.5,1,1.041,7.390059,884
다사454433,464,464,구로2동,4.708,0.715,2.5,1,1.041,8.247843,814
다사436447,136,136,고척1동,5.573,0,4,1,1,9.573,707
다사466423,274,274,구로3동,4.014,0,4,1,1,8.014,840
다사410447,74,74,수궁동,8.397,0,1.5,1,1.041,10.302777,639
다사437440,520,520,개봉1동,10,0,5,1.095,1,16.425,14
다사401421,65,65,항동,10,0,1.5,1,1,11.5,491
다사427440,406,406,개봉2동,3.5,0,4.5,1,1.041,8.328,802
다사401427,637,637,항동,10,0,2,1.095,1,13.14,289
다사429435,531,531,개봉3동,2.918,0.625,3.5,1.095,1.041,8.028280485,835
다사433435,319,319,개봉2동,10,0,2,1.095,1.041,13.67874,234
다사437447,N/A,0,고척1동,0,0.555,5,1,1,5.555,1042
다사402424,748,748,항동,10,0,1.5,1.095,1,12.5925,347
다사424427,819,819,개봉3동,4.049,0,3,1,1,7.049,912
다사398421,239,239,항동,10,0,1.5,1.095,1,12.5925,347
다사426450,193,193,고척2동,0.578,0.315,3,1,1.041,4.052613,1192
다사461435,42,42,구로4동,8.846,0.5,5,1,1.041,14.934186,127
다사398438,205,205,수궁동,0.024,0.435,2,1,1.041,2.559819,1341
다사400437,405,405,수궁동,8.313,0,3.5,1,1,11.813,465
다사456448,298,298,구로5동,6.833,0,2.5,1,1.041,9.715653,694
다사459433,353,353,구로4동,4.719,0.96,5,1,1,10.679,607
다사459451,395,395,구로5동,9.408,0,4,1.095,1,14.68176,148
다사417437,370,370,오류2동,1.763,0.285,4.5,1,1,6.548,955
다사455454,593,593,신도림동,7.55,0.12,3.5,1.095,1,12.23115,407
다사466425,549,549,구로3동,3.569,0,4.5,1.095,1,8.835555,765
다사468427,427,427,구로3동,1.235,0,4,1.095,1,5.732325,1033
다사457448,301,301,구로5동,0.809,0,3,1,1.041,3.965169,1222
다사403439,N/A,0,수궁동,0,0,2,1,1,2,1402
다사432455,366,366,고척2동,10,0,5,1.095,1,16.425,14
다사457458,420,420,신도림동,10,0,4.5,1,1,14.5,160
다사402444,90,90,수궁동,3.782,0,1,1,1,4.782,1132
다사448442,438,438,구로1동,5.96,0,5,1.095,1,12.0012,433
다사424456,53,53,고척2동,8.367,0,1,1,1,9.367,718
다사448440,378,378,구로1동,10,0,3.5,1.095,1,14.7825,133
다사452455,520,520,신도림동,7.158,0,4,1.095,1,12.21801,408
다사456442,260,260,구로2동,0.002,0,3.5,1,1.041,3.645582,1237
다사462439,233,233,구로4동,0.055,0.75,5,1,1.041,6.043005,1005
다사413427,263,263,오류2동,9.732,0,1.5,1.095,1,12.29904,402
다사469426,369,369,구로3동,8.322,0.6,4,1.095,1,14.14959,198
다사436453,794,794,고척2동,8.513,0,3.5,1.095,1,13.154235,287
다사415429,267,267,오류2동,4.791,0,3.5,1,1,8.291,808
다사418421,189,189,오류2동,6.805,0,2.5,1.095,1,10.188975,662
다사418449,201,201,개봉1동,5.237,0,4,1,1.041,9.615717,702
다사419438,183,183,오류2동,2.195,0,3.5,1,1.041,5.928495,1010
다사465436,331,331,구로3동,3.604,0,5,1,1,8.604,789
다사429430,213,213,개봉3동,6.441,0,3,1,1.041,9.828081,688
다사462442,867,867,구로4동,9.161,0,5,1.095,1,15.506295,88
다사413433,227,227,오류2동,6.865,0,2.5,1,1,9.365,719
다사452458,34,34,신도림동,3.799,0,2.5,1,1.041,6.557259,953
다사403440,294,294,수궁동,7.234,0,1,1.095,1,9.01623,746
다사413436,38,38,오류2동,10,0,1,1,1,11,559
다사423446,288,288,개봉1동,4.593,0,2.5,1,1.041,7.383813,885
다사426430,1091,1091,개봉3동,5.34,0,5,1,1.041,10.76394,597
다사427449,316,316,고척2동,0.809,0.835,1.5,1,1.041,3.272904,1275
다사435438,359,359,개봉2동,6.061,0,4,1,1,10.061,672
다사399422,215,215,항동,10,0,1.5,1.095,1,12.5925,347
다사461432,451,451,구로3동,8.484,0,5,1,1,13.484,263
다사449458,12,12,신도림동,6.168,0,1.5,1,1,7.668,862
다사459457,376,376,신도림동,10,0,4,1.095,1,15.33,93
다사420443,337,337,오류1동,8.041,0.795,4.5,1.095,1,14.60292,152
다사442448,101,101,고척1동,3.594,0,2.5,1,1.041,6.343854,976
다사416434,435,435,오류2동,4.461,0,5,1,1.041,9.848901,687
다사452434,119,119,구로2동,1.081,0,1.5,1,1.041,2.686821,1330
다사469427,574,574,구로3동,1.696,0.485,5,1.095,1,7.863195,850
다사414436,338,338,오류2동,10,0,1.5,1.095,1,12.5925,347
다사460430,271,271,구로3동,5.771,0,2.5,1,1,8.271,811
다사407436,213,213,오류2동,10,0,1,1.095,1,12.045,427
다사455453,70,70,신도림동,10,0,4,1.095,1.041,15.95853,54
다사460445,66,66,구로5동,9.132,0,1.5,1,1.041,11.067912,554
다사403426,259,259,항동,10,0,2,1.095,1.041,13.67874,234
다사412435,6,6,오류2동,9.075,0,4,1,1.041,13.611075,243
다사416437,420,420,오류2동,8.966,0,4.5,1,1,13.466,266
다사454449,508,508,구로5동,9.302,1.19,4,1.095,1,15.86874,72
다사427439,609,609,개봉2동,0.218,0,3.5,1,1.041,3.870438,1229
다사435445,11,11,고척1동,10,0,3,1,1,13,313
다사464436,318,318,구로3동,0.861,0,3.5,1,1.041,4.539801,1151
다사401444,71,71,수궁동,7.226,0,1,1,1,8.226,820
다사452444,200,200,구로2동,0.767,0,5,1.095,1.041,6.573774465,948
다사406436,26,26,오류2동,10,0,1,1,1,11,559
다사447431,324,324,구로1동,10,0,3,1,1,13,313
다사448435,201,201,구로1동,6.658,0,4.5,1,1,11.158,546
다사440448,13,13,고척1동,9.947,0,2.5,1,1,12.447,393
다사463433,770,770,구로3동,4.545,0,5,1.095,1,10.451775,624
다사449452,364,364,구로2동,10,0.075,3,1.095,1,14.317125,178
다사404437,6,6,수궁동,10,0,1,1,1,11,559
다사413425,64,64,오류2동,5.004,0,2,1,1,7.004,913
다사428445,114,114,개봉1동,4.885,0,3,1,1.041,8.208285,824
다사454431,246,246,가리봉동,0.65,0,2,1,1.041,2.75865,1327
다사409435,373,373,오류2동,5.295,0,3.5,1,1,8.795,767
다사454450,211,211,구로5동,10,0,4.5,1,1,14.5,160
다사430435,197,197,개봉3동,8.179,0,4,1,1.041,12.678339,342
다사452450,99,99,구로5동,3.453,0.315,3,1.095,1,7.41096,880
다사459449,503,503,구로5동,4.194,0.455,5,1.095,1,10.565655,614
다사401422,82,82,항동,10,0,1.5,1.095,1,12.5925,347
다사425453,413,413,고척2동,2.577,0,2,1,1.041,4.764657,1134
다사462450,1290,1290,구로5동,5.638,0,5,1.095,1,11.64861,478
다사406446,63,63,수궁동,5.279,0,4,1,1,9.279,728
다사431444,279,279,개봉1동,4.836,1,5,1,1,10.836,592
다사426440,454,454,개봉2동,4.277,0,4.5,1,1.041,9.136857,733
다사456430,265,265,가리봉동,0.605,1.255,3,1,1.041,5.05926,1102
다사411449,6,6,수궁동,10,0,1,1,1.041,11.451,509
다사419439,234,234,오류2동,0.878,0.68,5,1,1.041,6.826878,930
다사399430,172,172,항동,9.156,0,4.5,1,1.041,14.215896,193
다사429451,378,378,고척2동,1.209,0,4,1,1.041,5.422569,1059
다사436437,816,816,개봉2동,9.094,0,3.5,1.095,1,13.79043,227
다사459436,386,386,구로4동,6.642,1.88,3.5,1,1.041,12.514902,377
다사409434,331,331,오류2동,7.709,0,3.5,1,1,11.209,540
다사454446,161,161,구로2동,10,0,4.5,1.095,1.041,16.5284775,13
다사461437,298,298,구로4동,0.018,0,3,1,1.041,3.141738,1280
다사422448,332,332,개봉1동,8.713,0.435,4.5,1.095,1.041,15.55728696,86
다사420426,N/A,0,오류2동,0,0,1,1,1,1,1564
다사432444,749,749,고척1동,10,0,5,1,1,15,112
다사449455,396,396,신도림동,9.272,0,4.5,1.095,1,15.08034,111
다사420446,296,296,오류1동,3.509,0,2.5,1,1.041,6.255369,986
다사458432,503,503,구로4동,0.208,0.19,5,1,1,5.398,1064
다사440450,310,310,고척1동,7.103,0,4,1,1.041,11.558223,486
다사453462,76,76,신도림동,8.631,0,2,1.095,1,11.640945,480
다사437450,297,297,고척1동,3.694,0.65,3,1.095,1,8.04168,834
다사408438,193,193,오류2동,10,0,1.5,1,1,11.5,491
다사455458,822,822,신도림동,10,0,5,1.095,1,16.425,14
다사416432,54,54,오류2동,9.143,0,5,1,1,14.143,199
다사428448,314,314,고척2동,0.207,0,1.5,1,1.041,1.776987,1451
다사457433,742,742,구로4동,0.023,0.2,5,1,1,5.223,1083
다사458444,312,312,구로5동,4.123,0.5,4,1,1.041,8.976543,755
다사449439,716,716,구로1동,10,0,5,1.095,1,16.425,14
다사409447,233,233,수궁동,6.95,0,1,1.095,1,8.70525,780
다사457435,140,140,구로4동,4.771,0.115,3,1,1,7.886,845
다사421427,236,236,오류2동,7.484,0,4,1.095,1,12.57498,372
다사457436,446,446,구로2동,3.774,0,5,1,1.041,9.133734,734
다사461441,201,201,구로4동,6.713,0,4,1.095,1,11.730735,470
다사407449,N/A,0,수궁동,0,0,1,1,1.041,1.041,1548
다사423449,365,365,개봉1동,9.891,0.355,4,1,1.041,14.830086,130
다사456456,805,805,신도림동,9.557,0,5,1.095,1,15.939915,56
다사399426,517,517,항동,10,0,1.5,1.095,1,12.5925,347
다사432447,N/A,0,고척1동,0,0,2.5,1,1.041,2.6025,1334
다사431433,235,235,개봉3동,0.705,0.37,4.5,1,1.041,5.803575,1025
다사398444,125,125,수궁동,10,0,4,1,1,14,210
다사435441,758,758,개봉1동,7.52,0,3,1,1,10.52,619
다사453431,306,306,가리봉동,0.068,0,2,1,1.041,2.152788,1395
다사419443,83,83,오류1동,0.951,0.65,3.5,1,1.041,5.310141,1068
다사399442,396,396,수궁동,10,0,3.5,1,1,13.5,251
다사458433,704,704,구로4동,0.101,0.415,5,1,1,5.516,1046
다사460453,555,555,구로5동,10,0,5,1,1,15,112
다사407435,36,36,오류2동,9.235,0,1,1,1,10.235,654
다사408444,462,462,수궁동,6.926,0,3.5,1,1,10.426,628
다사416436,565,565,오류2동,9.815,0.185,3.5,1,1,13.5,251
다사424447,803,803,개봉1동,7.947,0.715,5,1.095,1.041,15.57324549,85
다사405448,N/A,0,수궁동,0,0,1,1,1.041,1.041,1548
다사450448,40,40,구로2동,10,0,2.5,1,1.041,13.0125,309
다사462443,990,990,구로5동,10,0.335,5,1.095,1,16.791825,7
다사416440,399,399,오류1동,3.989,0.415,5,1.095,1,10.29738,640
다사449454,294,294,신도림동,10,0,5,1.095,1,16.425,14
다사449445,74,74,구로1동,2.914,0.715,1.5,1.095,1,5.616255,1038
다사402423,351,351,항동,10,0,1.5,1.095,1,12.5925,347
