gid,lbl,val_200,d_name,cctv_mod,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사427442,615,615,개봉2동,10,0,5,1.095,1,16.425,14
다사431446,91,91,고척1동,8.203,0,2,1,1.041,10.621323,611
다사453452,714,714,신도림동,10,0,5,1.095,1,16.425,14
다사440451,157,157,고척1동,9.957,0,3.5,1.095,1,14.735415,145
다사418430,139,139,오류2동,9.402,0,2,1.095,1,12.48519,388
다사458449,317,317,구로5동,0.087,0.5,4.5,1,1.041,5.295567,1070
다사407450,14,14,수궁동,9.004,0,1,1,1.041,10.414164,629
다사459435,347,347,구로4동,5.846,0,5,1,1.041,11.290686,532
다사423453,350,350,고척2동,0.466,0,3,1,1.041,3.608106,1241
다사404426,362,362,항동,10,0,2,1.095,1,13.14,289
다사415428,483,483,오류2동,9.929,0,4,1.095,1,15.252255,104
다사416429,203,203,오류2동,1.17,0,3,1.095,1,4.56615,1149
다사423450,545,545,개봉1동,1.873,0,4,1,1.041,6.113793,995
다사431439,869,869,개봉2동,7.964,0,5,1.095,1,14.19558,196
다사451458,255,255,신도림동,8.801,0.835,2.5,1,1.041,12.633576,343
다사414435,95,95,오류2동,4.04,0,3,1,1.041,7.32864,891
다사437443,257,257,고척1동,10,0,4,1,1,14,210
다사438445,9,9,고척1동,6.456,0,4.5,1,1,10.956,573
다사465425,N/A,0,구로3동,0,0,4,1,1,4,1198
다사395442,232,232,수궁동,7.246,0,1,1,1,8.246,816
다사413431,234,234,오류2동,9.966,0,3.5,1,1,13.466,266
다사415440,134,134,오류1동,10,0,4.5,1,1.041,15.0945,108
다사425440,460,460,개봉2동,2.718,0,3.5,1,1.041,6.472938,966
다사436455,N/A,0,고척2동,0,0,1,1,1,1,1564
다사426442,N/A,0,개봉2동,0,0,4,1,1,4,1198
다사408432,280,280,오류2동,5.57,0,2.5,1.095,1,8.83665,764
다사419449,334,334,개봉1동,2.165,0,3.5,1,1.041,5.897265,1013
다사404444,16,16,수궁동,7.807,0,2.5,1,1,10.307,638
다사410434,352,352,오류2동,7.478,0,4.5,1.095,1,13.11591,304
다사425429,N/A,0,개봉3동,0,0,2,1,1,2,1402
다사414432,318,318,오류2동,9.557,0,3.5,1.095,1,14.297415,180
다사430448,216,216,개봉1동,9.927,0,4,1,1.041,14.498007,169
다사461424,288,288,가리봉동,4.302,1.565,3.5,1.095,1.041,10.67739647,608
다사418437,384,384,오류2동,2.339,0.18,4.5,1,1.041,7.306779,893
다사434435,524,524,개봉2동,10,0,3,1,1,13,313
다사416444,204,204,오류1동,1.496,0,5,1,1.041,6.762336,933
다사426447,352,352,개봉1동,1.339,0,3,1,1.041,4.516899,1152
다사409441,429,429,수궁동,1.701,0,3.5,1,1.041,5.414241,1062
다사430431,92,92,개봉3동,10,0,1,1,1.041,11.451,509
다사435446,N/A,0,고척1동,0,0,1,1,1,1,1564
다사453440,310,310,구로2동,3.648,0,5,1,1.041,9.002568,747
다사459437,167,167,구로2동,1.671,0.335,4,1,1.041,6.252246,987
다사461446,955,955,구로5동,8.402,0.28,4.5,1.095,1,14.43429,174
다사469428,15,15,구로3동,4.163,1.315,5,1,1,10.478,621
다사419451,580,580,개봉1동,5.423,0,2.5,1,1.041,8.247843,814
다사458448,215,215,구로5동,1.795,0.59,4.5,1,1.041,7.167285,904
다사427431,965,965,개봉3동,7.601,0,5,1,1,12.601,345
다사441448,275,275,고척1동,4.183,0,2.5,1,1.041,6.957003,919
다사457446,273,273,구로5동,1.422,0,2.5,1,1.041,4.082802,1188
다사399444,692,692,수궁동,9.843,0.835,4.5,1.095,1,16.61991,9
다사406453,N/A,0,수궁동,0,0,1,1,1.041,1.041,1548
다사459424,N/A,0,가리봉동,0,0,3.5,1,1,3.5,1244
다사463438,237,237,구로4동,0.339,0.28,4,1,1.041,4.808379,1131
다사419447,906,906,개봉1동,7.457,0,4.5,1,1,11.957,450
다사449442,6,6,구로1동,10,0,3.5,1,1,13.5,251
다사453458,7,7,신도림동,5.793,0,5,1,1,10.793,594
다사457438,407,407,구로2동,1.754,0,4.5,1,1.041,6.510414,961
다사459459,492,492,신도림동,10,0,4.5,1.095,1,15.8775,58
다사448439,817,817,구로1동,10,0,5,1.095,1,16.425,14
다사446450,N/A,0,구로2동,0,0,1.5,1,1,1.5,1461
다사454437,477,477,구로2동,4.851,0,3.5,1,1.041,8.693391,781
다사461427,234,234,가리봉동,0.053,0,2.5,1,1.041,2.657673,1331
다사460438,271,271,구로4동,1.394,0.265,4,1,1.041,5.891019,1014
다사433439,283,283,개봉2동,7.117,0.18,3.5,1,1,10.797,593
다사433450,167,167,고척1동,3.64,0,3.5,1,1.041,7.43274,878
다사439453,132,132,고척1동,5.479,0,1,1,1.041,6.744639,934
다사452437,338,338,구로2동,3.054,0,2,1,1.041,5.261214,1078
다사421447,395,395,개봉1동,1.701,0,3,1,1.041,4.893741,1127
다사417443,470,470,오류1동,2.742,0,3,1.095,1.041,6.54527709,956
다사417446,514,514,오류1동,10,0,3.5,1,1.041,14.0535,204
다사456460,748,748,신도림동,9.292,0,3.5,1.095,1,14.00724,209
다사463440,85,85,구로4동,8.072,0,4.5,1,1.041,13.087452,307
다사468431,399,399,구로3동,10,0.335,4,1.095,1,15.696825,78
다사458437,400,400,구로2동,2.563,0.5,4,1,1.041,7.352583,890
다사396418,297,297,항동,10,0,1.5,1,1,11.5,491
다사416446,977,977,오류1동,10,0,3.5,1.095,1,14.7825,133
다사435451,32,32,고척1동,1.049,2.39,4.5,1,1.041,8.264499,812
다사416431,587,587,오류2동,9.736,0,5,1,1,14.736,144
다사448431,216,216,구로1동,9.115,0,3,1,1,12.115,421
다사410442,164,164,수궁동,5.342,0,1.5,1,1,6.842,929
다사460435,1188,1188,구로4동,4.536,0,5,1.095,1.041,10.87003872,585
다사415430,414,414,오류2동,9.132,0,2,1.095,1,12.18954,413
다사423451,523,523,개봉1동,4.261,1.155,3,1,1.041,8.761056,773
다사429450,601,601,고척2동,4.037,0,3.5,1,1.041,7.846017,853
다사412440,37,37,수궁동,9.796,0,1,1,1.041,11.238636,539
다사422453,531,531,개봉1동,4.414,0,4,1.095,1.041,9.59107653,705
다사402449,N/A,0,수궁동,0,0,1,1,1,1,1564
다사452453,718,718,신도림동,10,0,3,1.095,1,14.235,183
다사457437,341,341,구로2동,9.366,0,3.5,1,1.041,13.393506,271
다사429436,464,464,개봉2동,5.996,0,5,1,1.041,11.446836,519
다사433440,43,43,개봉2동,3.764,1.25,2.5,1,1.041,7.822074,857
다사464433,414,414,구로3동,9.66,0,2.5,1.095,1,13.3152,276
다사466426,70,70,구로3동,8.194,0,3.5,1.095,1,12.80493,336
다사409436,40,40,오류2동,10,0,2,1,1,12,434
다사418434,N/A,0,오류2동,0,0,2,1,1,2,1402
다사452445,1055,1055,구로2동,8.803,0,4.5,1,1,13.303,277
다사453443,309,309,구로2동,3.564,0.715,4,1,1.041,8.618439,788
다사462438,270,270,구로4동,4.196,1.5,5,1,1.041,11.134536,548
다사431435,355,355,개봉3동,4.025,0,2.5,1,1.041,6.792525,931
다사455445,440,440,구로2동,3.542,1.365,3,1,1.041,8.231187,818
다사465435,266,266,구로3동,5.948,0,5,1.095,1,11.98806,444
다사455461,786,786,신도림동,8.373,0,2,1.095,1,11.358435,525
다사424443,345,345,오류1동,8.197,0,2.5,1,1,10.697,602
다사418423,184,184,오류2동,10,0,3.5,1,1,13.5,251
다사425427,313,313,개봉3동,8.839,0,3.5,1,1.041,12.844899,335
다사400444,52,52,수궁동,4.061,0,3.5,1,1,7.561,870
다사420451,268,268,개봉1동,9.608,0,3,1,1.041,13.124928,303
다사423452,425,425,고척2동,1.736,0,3,1,1.041,4.930176,1125
다사433452,792,792,고척2동,7.781,0,2.5,1.095,1,11.257695,536
다사470428,79,79,구로3동,6.527,0.675,3.5,1,1,10.702,601
다사407442,310,310,수궁동,10,0,3,1.095,1,14.235,183
다사452452,157,157,신도림동,10,0.265,3,1,1,13.265,280
다사426428,219,219,개봉3동,3.415,0,3.5,1.095,1.041,7.882373925,846
다사424431,N/A,0,개봉3동,0,0,1,1,1,1,1564
다사458435,355,355,구로4동,0.203,0,5,1,1,5.203,1087
다사397438,58,58,수궁동,6.802,0,1.5,1,1,8.302,806
다사421439,369,369,오류2동,0.04,0,5,1,1.041,5.24664,1080
다사426443,N/A,0,개봉1동,0,0,1,1,1,1,1564
다사414434,183,183,오류2동,7.727,0,4,1,1,11.727,471
다사428431,573,573,개봉3동,3.85,0.715,3,1,1.041,7.875165,848
다사436448,283,283,고척1동,10,0,3,1.095,1,14.235,183
다사431436,237,237,개봉2동,8.634,0.18,5,1,1.041,14.380374,175
다사430442,432,432,개봉1동,10,0,1,1.095,1,12.045,427
다사443452,N/A,0,고척1동,0,0,1,1,1,1,1564
다사465423,303,303,가리봉동,8.369,0,3.5,1.095,1,12.996555,323
다사447453,117,117,구로2동,1.634,0,3,1,1,4.634,1147
다사457459,362,362,신도림동,10,0,4,1,1,14,210
다사455439,21,21,구로2동,8.618,0,4.5,1,1.041,13.655838,237
다사437449,593,593,고척1동,7.331,0,5,1.095,1,13.502445,250
다사399431,304,304,항동,5.995,0,2.5,1,1,8.495,792
다사463432,6,6,구로3동,10,0,4.5,1,1,14.5,160
다사424451,352,352,고척2동,1.55,0.5,4,1,1.041,6.29805,983
다사422442,552,552,오류1동,7.774,0.625,1,1.095,1,10.291905,642
다사408447,354,354,수궁동,5.664,0,3,1,1,8.664,784
다사421450,133,133,개봉1동,2.691,0.385,4,1,1.041,7.366116,888
다사424452,67,67,고척2동,9.194,0,2.5,1,1,11.694,474
다사426427,264,264,개봉3동,9.312,0,2,1,1.041,11.775792,468
다사426436,564,564,개봉2동,4.717,0,5,1.095,1.041,11.07635972,552
다사457441,225,225,구로2동,9.809,0,1.5,1,1,11.309,531
다사461452,165,165,구로5동,1.063,0.79,3.5,1.095,1.041,6.101857935,998
다사413445,401,401,오류1동,0.064,0,2,1,1.041,2.148624,1396
다사418424,354,354,오류2동,10,0,5,1,1,15,112
다사436442,1155,1155,개봉1동,10,0,2,1.095,1,13.14,289
다사449435,666,666,구로1동,5.94,0.43,4.5,1.095,1,11.90265,460
다사451449,19,19,구로2동,5.325,1.25,2.5,1,1.041,9.447075,714
다사438450,294,294,고척1동,2.311,0.625,2.5,1,1.041,5.658876,1036
다사407441,513,513,수궁동,10,0,3,1,1,13,313
다사415426,383,383,오류2동,8.673,0.205,2,1.095,1,11.91141,459
다사425430,139,139,개봉3동,5.917,0,2.5,1,1.041,8.762097,772
다사451452,N/A,0,구로2동,0,0,2,1,1.041,2.082,1400
다사461426,299,299,가리봉동,2.273,0,3,1,1.041,5.489193,1052
다사417444,173,173,오류1동,8.022,0,3,1,1.041,11.473902,508
다사456451,608,608,구로5동,9.675,0,3.5,1,1,13.175,286
다사408440,233,233,수궁동,8.011,1.665,2,1,1,11.676,476
다사411439,N/A,0,오류2동,0,0,3,1,1,3,1290
다사434443,580,580,개봉1동,8.195,0,5,1,1,13.195,285
다사413442,248,248,수궁동,9.405,0,3,1.095,1,13.583475,246
다사401424,321,321,항동,10,0,1.5,1.095,1,12.5925,347
다사427432,556,556,개봉3동,1.917,0,2,1,1.041,4.077597,1190
다사458425,28,28,가리봉동,8.826,0,3,1.095,1.041,13.48039827,264
다사430449,334,334,개봉1동,9.895,0.225,3.5,1.095,1.041,15.5253699,87
다사433451,154,154,고척1동,5.239,0,3.5,1,1.041,9.097299,738
다사409443,285,285,수궁동,10,0,1.5,1,1,11.5,491
다사453434,345,345,구로2동,0.096,0,2.5,1,1.041,2.702436,1329
다사410436,25,25,오류2동,10,0,1.5,1,1.041,11.9715,445
다사434436,658,658,개봉2동,10,0,3.5,1,1,13.5,251
다사450458,170,170,신도림동,2.31,0,1,1.095,1.041,3.77305245,1234
다사430436,186,186,개봉2동,4.167,1,5,1,1,10.167,663
다사416426,N/A,0,오류2동,0,0,2,1,1,2,1402
다사452460,8,8,신도림동,3.189,0,2,1,1,5.189,1088
다사428446,220,220,개봉1동,4.837,0.5,2,1,1.041,7.637817,864
다사452441,302,302,구로2동,6.636,0,2,1,1.041,8.990076,751
다사455433,399,399,구로2동,1.958,1.62,3.5,1,1.041,7.368198,887
다사455448,327,327,구로5동,5.293,0,3.5,1,1.041,9.153513,732
다사453433,219,219,구로2동,2.562,0,2.5,1,1.041,5.269542,1073
다사433442,113,113,개봉1동,10,1.085,5,1,1,16.085,53
다사396443,239,239,수궁동,7.214,0,1,1.095,1.041,9.36309753,720
다사414438,279,279,오류2동,10,0,3.5,1.095,1,14.7825,133
다사458454,330,330,신도림동,10,0,5,1.095,1,16.425,14
다사398440,N/A,0,수궁동,0,0,1,1,1,1,1564
다사421451,160,160,개봉1동,9.779,0,3,1,1.041,13.302939,278
다사463443,302,302,구로4동,10,0,3,1.095,1.041,14.818635,131
다사453457,195,195,신도림동,7.759,0,4,1.095,1,12.876105,332
다사415434,222,222,오류2동,4.189,0,3,1,1,7.189,901
다사426434,388,388,개봉3동,1.478,0,3.5,1,1,4.978,1122
다사407447,222,222,수궁동,3.88,0,1,1,1,4.88,1128
다사426432,158,158,개봉3동,9.38,0,1.5,1,1,10.88,582
다사449431,309,309,구로1동,3.439,0,1,1,1,4.439,1164
다사456438,13,13,구로2동,9.188,0,3,1,1,12.188,414
다사453446,212,212,구로2동,5.708,0.415,2,1,1.041,8.456043,794
다사459425,110,110,가리봉동,0.29,1.5,3.5,1,1.041,5.50689,1048
다사460451,315,315,구로5동,7.43,0,3.5,1,1,10.93,576
다사432448,133,133,고척1동,10,0,2.5,1,1.041,13.0125,309
다사456445,128,128,구로2동,7.379,0,3.5,1,1.041,11.325039,529
다사456449,370,370,구로5동,4.34,0,3.5,1.095,1.041,8.9367768,759
다사462452,352,352,구로5동,4.323,1.19,4,1.095,1.041,10.84382114,591
다사428449,137,137,고척2동,2.704,0,2.5,1,1.041,5.417364,1061
다사420454,56,56,개봉1동,8.865,0,4,1,1.041,13.392465,272
다사427456,487,487,고척2동,2.463,0,4.5,1,1,6.963,918
다사428455,348,348,고척2동,2.085,0,4,1,1.041,6.334485,977
다사451453,1143,1143,신도림동,10,0,4.5,1.095,1,15.8775,58
다사415443,411,411,오류1동,2.127,0,4.5,1,1.041,6.898707,925
다사426439,541,541,개봉2동,1.022,0,3.5,1.095,1.041,5.15460519,1092
다사445442,1286,1286,구로1동,10,0.315,4,1.095,1,15.674925,81
다사420450,440,440,개봉1동,5.72,0,4,1,1.041,10.11852,666
다사406447,36,36,수궁동,9.946,0,2,1,1,11.946,452
다사428451,232,232,고척2동,4.604,0.715,4,1,1.041,9.701079,695
다사432439,452,452,개봉2동,5.626,0,5,1,1,10.626,610
다사465437,130,130,구로3동,7.497,0,3,1.095,1.041,11.96547782,449
다사429455,134,134,고척2동,2.179,0,1.5,1,1.041,3.829839,1230
다사430443,183,183,개봉1동,9.956,0,1,1.095,1,11.99682,443
다사468430,163,163,구로3동,10,0,4,1.095,1,15.33,93
다사446438,369,369,구로1동,10,0,4.5,1,1,14.5,160
다사460443,N/A,0,구로5동,0,0.835,2,1,1,2.835,1325
다사400427,740,740,항동,10,0,2,1.095,1,13.14,289
다사415436,97,97,오류2동,10,0,1,1,1,11,559
다사462447,586,586,구로5동,5.377,0.59,2,1.095,1,8.723865,778
다사430441,530,530,개봉2동,7.276,0,5,1,1,12.276,403
다사434451,173,173,고척1동,1.533,1,5,1,1.041,7.841853,854
다사448449,N/A,0,구로2동,0,0.085,1.5,1,1,1.585,1454
다사407440,385,385,수궁동,10,0,3,1.095,1,14.235,183
다사421438,60,60,오류2동,4.551,0,4.5,1,1.041,9.422091,717
다사452461,119,119,신도림동,5.584,0,2,1.095,1,8.30448,805
다사455429,158,158,가리봉동,1.059,0,2,1.095,1.041,3.486938805,1271
다사451459,73,73,신도림동,9.435,0,2.5,1,1.041,12.424335,395
다사408443,418,418,수궁동,5.341,0,3.5,1.095,1,9.680895,699
다사402433,212,212,항동,9.877,0,1,1,1,10.877,583
다사418446,266,266,오류1동,8.944,0,2.5,1,1.041,11.913204,458
다사432434,335,335,개봉3동,6.921,0,3.5,1,1.041,10.848261,590
다사447437,288,288,구로1동,10,0,4,1.095,1,15.33,93
다사431443,101,101,개봉1동,9.673,0,5,1,1,14.673,149
다사454441,147,147,구로2동,4.392,0.295,5,1,1.041,10.084167,669
다사456452,518,518,구로5동,7.694,0,3.5,1,1,11.194,542
다사458452,32,32,구로5동,10,0,4.5,1.095,1,15.8775,58
다사435442,885,885,개봉1동,10,0,3,1.095,1,14.235,183
다사457443,63,63,구로2동,6.189,0,1.5,1,1.041,8.004249,841
다사425449,205,205,고척2동,1.875,0.145,2.5,1,1.041,4.70532,1141
다사440449,113,113,고척1동,2.608,0,4.5,1,1.041,7.399428,883
다사462433,953,953,구로3동,10,0,4.5,1.095,1,15.8775,58
다사397440,150,150,수궁동,4.478,0,2.5,1,1,6.978,916
다사419435,35,35,오류2동,5.349,0,4.5,1,1,9.849,686
다사454440,69,69,구로2동,9.912,1.5,4.5,1,1,15.912,57
다사455436,55,55,구로2동,8.019,0.805,4.5,1,1.041,13.870284,224
다사460448,247,247,구로5동,5.967,0,5,1.095,1,12.008865,432
다사420440,39,39,오류1동,5.723,0,4.5,1,1,10.223,658
다사407443,218,218,수궁동,7.843,0.625,4,1.095,1,13.65246,239
다사459426,86,86,가리봉동,0.68,0.975,4,1,1.041,5.886855,1015
다사459458,183,183,신도림동,10,0,5,1.095,1,16.425,14
다사401439,400,400,수궁동,4.371,0,2,1.095,1,6.976245,917
다사435454,201,201,고척2동,4.791,0,3.5,1,1,8.291,808
다사416442,264,264,오류1동,1.355,0.225,4,1,1.041,5.80878,1024
다사402443,226,226,수궁동,5.112,0,1,1,1,6.112,997
다사433455,375,375,고척2동,10,0,4.5,1.095,1,15.8775,58
다사459448,791,791,구로5동,6.895,0,4.5,1.095,1.041,12.98910353,325
다사445441,642,642,구로1동,7.615,0,5,1.095,1,13.813425,226
다사454456,1040,1040,신도림동,10,0,4,1.095,1,15.33,93
다사458442,235,235,구로2동,4.876,0,3,1,1.041,8.198916,826
다사459453,680,680,구로5동,10,0,5,1,1,15,112
다사408448,31,31,수궁동,10,0,1,1,1.041,11.451,509
다사462432,637,637,구로3동,10,0,4,1,1,14,210
다사447442,941,941,구로1동,6.434,0,5,1.095,1,12.52023,376
다사419426,N/A,0,오류2동,0,0,1,1,1,1,1564
다사423438,143,143,오류2동,1.147,0,4.5,1,1.041,5.878527,1017
다사453454,714,714,신도림동,9.447,0,5,1.095,1,15.819465,73
다사448438,308,308,구로1동,10,0.115,5,1.095,1,16.550925,12
다사459432,526,526,구로3동,0.431,1.4,4,1,1,5.831,1023
다사455455,209,209,신도림동,8.655,0.835,3.5,1.095,1.041,14.80723605,132
다사432445,433,433,고척1동,10,0,4,1,1,14,210
다사436446,360,360,고척1동,7.658,0,4.5,1,1,12.158,416
다사454436,238,238,구로2동,4.042,2.03,4.5,1,1.041,11.005452,558
다사460440,30,30,구로2동,8.797,0.835,2.5,1,1.041,12.629412,344
다사400421,177,177,항동,10,0,1.5,1,1,11.5,491
다사426429,356,356,개봉3동,5.241,0,4,1,1,9.241,729
다사430452,144,144,고척2동,0.782,0.77,4.5,1,1.041,6.300132,981
다사415424,243,243,오류2동,10,0,2,1.095,1,13.14,289
다사453463,194,194,신도림동,3.056,0,2,1.095,1,5.53632,1045
다사428441,449,449,개봉2동,10,0,5,1,1,15,112
다사432451,250,250,고척1동,1.373,0,2.5,1,1.041,4.031793,1195
다사432453,255,255,고척2동,2.354,0,4,1,1.041,6.614514,945
다사437452,301,301,고척1동,9.927,0,4,1,1.041,14.498007,169
다사454438,232,232,구로2동,1.194,0.415,5,1,1.041,6.879969,926
다사454458,675,675,신도림동,10,0,5,1.095,1,16.425,14
다사455441,294,294,구로2동,0.504,0.835,3.5,1,1.041,5.037399,1105
다사437442,688,688,개봉1동,10,0,3,1.095,1,14.235,183
다사401443,110,110,수궁동,3.02,0,3,1,1,6.02,1008
다사453438,284,284,구로2동,3.6,0,5,1,1.041,8.9526,756
다사456436,168,168,구로2동,4.213,0.645,5,1,1.041,10.262178,647
다사449436,1212,1212,구로1동,10,0,4.5,1.095,1,15.8775,58
다사450456,142,142,신도림동,4.575,0,1.5,1,1.041,6.324075,980
다사404446,165,165,수궁동,3.783,0,3,1,1.041,7.061103,911
다사455440,301,301,구로2동,2.925,0,2,1,1.041,5.126925,1096
다사454445,172,172,구로2동,5.395,0,3,1,1.041,8.739195,776
다사408446,440,440,수궁동,1.391,0,3,1,1,4.391,1166
다사433444,229,229,고척1동,9.337,0,5,1,1,14.337,176
다사421426,N/A,0,오류2동,0,0,1,1,1,1,1564
다사400426,385,385,항동,10,0,1.5,1.095,1,12.5925,347
다사415445,542,542,오류1동,7.728,0,2.5,1,1,10.228,656
다사431431,8,8,개봉3동,10,0,4,1,1,14,210
다사397443,321,321,수궁동,2.241,0,2,1,1.041,4.414881,1165
다사434449,724,724,고척1동,10,0,5,1,1,15,112
다사401425,N/A,0,항동,0,0,2,1,1,2,1402
다사417438,378,378,오류2동,1.504,0,5,1.095,1,7.12188,907
다사419444,177,177,오류1동,6.084,0.315,4,1.095,1.041,11.85376811,463
다사439450,441,441,고척1동,2.626,0,3.5,1,1.041,6.377166,974
다사426438,470,470,개봉2동,5.117,0,5,1.095,1.041,11.53231772,490
다사402442,26,26,수궁동,7.691,0,1,1,1.041,9.047331,742
다사402439,47,47,수궁동,3.393,0,2,1.095,1,5.905335,1012
다사442447,33,33,고척1동,6.755,0,2.5,1,1.041,9.634455,701
다사422443,726,726,오류1동,4.228,1.75,4,1,1,9.978,677
다사435452,175,175,고척2동,8.193,0,4,1,1,12.193,412
다사428429,260,260,개봉3동,1.22,0,5,1,1.041,6.47502,965
다사446443,1350,1350,구로1동,8.304,0,4.5,1.095,1,14.02038,207
다사453441,319,319,구로2동,1.426,0,4.5,1,1.041,6.168966,991
다사394420,277,277,항동,10,0,1.5,1.095,1,12.5925,347
다사409433,220,220,오류2동,9.916,0,3.5,1,1,13.416,270
다사454444,193,193,구로2동,3.083,1.365,4,1,1.041,8.794368,768
다사395419,236,236,항동,10,0,1.5,1.095,1,12.5925,347
다사429431,403,403,개봉3동,5.223,0.455,3,1,1.041,9.033798,744
